#pftX-cth and pftX-cbh are the site=specific canopy top and bottom heights
#start_year and end_year will be used to define DATM_YR_ALIGN, DATM_YR_START and DATM_YR_END, and STOP_N in units of nyears.
#RUN_STARTDATE and START_TOD are specified because we are starting at GMT corresponding to local midnight.
#ATM_NCPL is specified so that the time step of the model matches the time interval specified by the atm forcing data.
#The *_SPIN variables are those that need to be set explicitly for spinup because they can be different for each site
,Site,Lat,Lon,pft1,pft1-%,pft1-cth,pft1-cbh,pft2,pft2-%,pft2-cth,pft2-cbh,start_year,end_year,RUN_STARTDATE,START_TOD,ATM_NCPL,RUN_STARTDATE_SPIN,CALENDAR_SPIN,DATM_YR_START_SPIN,DATM_YR_END_SPIN,DATM_YR_ALIGN_SPIN,START_TOD_SPIN
103,IT-Noe,40.606178, 8.151170,10,70.00, 1.20, 0.24,14,30.00, 0.50, 0.01,2004,2014,2003-12-31,82800,48 ,2005-01-01,GREGORIAN,2005,2012,2005,82800
104,IT-Non,44.690189,11.091090,7,100.00, 7.00, 4.03,-999,-999.00,-999.00,-999.00,2002,2002,2001-12-31,82800,48 ,0001-01-01,NO_LEAP,2002,2002,1,82800
105,IT-PT1,45.200871, 9.061040,7,100.00,26.00,14.95,-999,-999.00,-999.00,-999.00,2003,2004,2002-12-31,82800,48 ,0001-01-01,NO_LEAP,2003,2003,1,0
106,IT-Ren,46.586861,11.433690,1,100.00,28.00,14.00,-999,-999.00,-999.00,-999.00,2010,2013,2009-12-31,82800,48 ,0001-01-01,NO_LEAP,2010,2010,1,0
107,IT-Ro1,42.408119,11.930010,7,100.00,15.00, 8.62,-999,-999.00,-999.00,-999.00,2002,2006,2001-12-31,82800,48 ,0001-01-01,NO_LEAP,2002,2002,1,0
108,IT-Ro2,42.390259,11.920930,7,100.00,15.00, 8.62,-999,-999.00,-999.00,-999.00,2002,2008,2001-12-31,82800,48 ,2003-01-01,GREGORIAN,2003,2006,2003,82800
109,IT-SR2,43.732029,10.290950,1,100.00,19.00, 9.50,-999,-999.00,-999.00,-999.00,2013,2014,2012-12-31,82800,48 ,0001-01-01,NO_LEAP,2013,2013,1,0
110,IT-SRo,43.727859,10.284440,1,100.00,16.00, 8.00,-999,-999.00,-999.00,-999.00,2003,2012,2002-12-31,82800,48 ,2004-01-01,GREGORIAN,2004,2011,2004,82800
111,JP-SMF,35.261700,137.078796,1,29.81, 8.10, 4.05,7,70.19, 8.10, 4.66,2003,2006,2002-12-31,54000,48 ,0001-01-01,NO_LEAP,2003,2003,1,0
112,NL-Ca1,51.971001, 4.927000,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2003,2006,2002-12-31,82800,48 ,0001-01-01,NO_LEAP,2003,2003,1,0
113,NL-Hor,52.240349, 5.071300,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2008,2011,2007-12-31,82800,48 ,0001-01-01,NO_LEAP,2008,2008,1,0
114,NL-Loo,52.166580, 5.743560,1,100.00,15.50, 7.75,-999,-999.00,-999.00,-999.00,1997,2013,1996-12-31,82800,48 ,1998-01-01,GREGORIAN,1998,2009,1998,82800
115,PL-wet,52.762199,16.309401,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2004,2005,2003-12-31,82800,48 ,0001-01-01,NO_LEAP,2004,2004,1,0
116,PT-Esp,38.639400,-8.601807,5,100.00,20.00, 0.57,-999,-999.00,-999.00,-999.00,2002,2004,2002-01-01,0,48 ,0001-01-01,NO_LEAP,2003,2003,1,0
117,PT-Mi1,38.540642,-8.000061,5,100.00, 7.30, 0.21,-999,-999.00,-999.00,-999.00,2005,2005,2005-01-01,0,48 ,0001-01-01,NO_LEAP,2005,2005,1,0
118,PT-Mi2,38.476501,-8.024536,14,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2005,2006,2005-01-01,0,48 ,0001-01-01,NO_LEAP,2006,2006,1,0
119,RU-Che,68.613037,161.341431,12,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2003,2004,2002-12-31,46800,48 ,0001-01-01,NO_LEAP,2003,2003,1,0
120,RU-Fyo,56.461529,32.922081,1,100.00,21.00,10.50,-999,-999.00,-999.00,-999.00,2003,2014,2002-12-31,75600,48 ,2004-01-01,GREGORIAN,2004,2011,2004,75600
121,RU-Zot,60.800800,89.350800,2,70.00,12.00, 6.00,13,30.00, 0.50, 0.01,2003,2003,2002-12-31,61200,48 ,0001-01-01,NO_LEAP,2003,2003,1,61200
122,SD-Dem,13.282900,30.478300,6,30.00, 1.50, 0.83,14,70.00, 0.50, 0.01,2005,2009,2004-12-31,75600,48 ,0001-01-01,NO_LEAP,2005,2005,1,0
123,SE-Deg,64.181969,19.556690,13,100.00, 0.50, 0.01,-999,-999.00,-999.00,-999.00,2002,2005,2001-12-31,82800,48 ,0001-01-01,NO_LEAP,2002,2002,1,0
124,UK-Gri,56.607220,-3.798065,1,100.00,10.00, 5.00,-999,-999.00,-999.00,-999.00,2000,2001,2000-01-01,0,48 ,0001-01-01,NO_LEAP,2001,2001,1,0
125,UK-Ham,51.153530,-0.858307,7,100.00,22.00,12.65,-999,-999.00,-999.00,-999.00,2004,2004,2004-01-01,0,48 ,0001-01-01,NO_LEAP,2004,2004,1,0
126,UK-PL3,51.450001,-1.266663,1, 8.33,22.00,11.00,7,91.67,22.00,12.65,2005,2006,2005-01-01,0,48 ,0001-01-01,NO_LEAP,2006,2006,1,0
